academic_year,tcas_round_code,tcas_round_name,project_id,fac_id,fac_name,major_id,major_name,major_type,application_choices,unique_applicants,confirmed_unique_applicants,applicant_status_1_rows,applicant_status_2_rows,applicant_status_3_rows,avg_score,min_score,max_score,avg_priority,min_priority,max_priority,applicant_rows,selected_rows,excluded_second_processing_rows,selected_in_better_choice_rows,confirmed_elsewhere_rows,confirmed_rows,surrendered_rows,round2_surrendered_rows,rejected_rows,no_action_rows,not_used_rows
2568,TCAS1,Portfolio,A0200,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,2,2,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,109,109,4,0,19,90,0.0,0.0,0.0,0.0,0,0,0,0,0,0,15,4,0,0,90,0,0
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,63,63,11,0,24,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,11,0,2,39,4,0
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,312,312,33,0,59,253,0.0,0.0,0.0,0.0,0,0,0,0,0,0,24,33,0,1,253,1,0
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E24,วิศวกรรมอุตสาหการ-โลจิสติกส์,ภาคปกติ,171,171,15,0,36,135,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17,15,0,0,135,4,0
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,211,211,16,0,44,167,0.0,0.0,0.0,0.0,0,0,0,0,0,0,24,16,0,1,167,2,1
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E36,วิศวกรรมอาหาร,ภาคปกติ,89,89,27,0,51,38,0.0,0.0,0.0,0.0,0,0,0,0,0,0,18,27,1,1,38,3,1
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,102,102,32,0,57,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,18,32,0,2,45,4,1
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,197,197,22,0,49,148,0.0,0.0,0.0,0.0,0,0,0,0,0,0,24,22,0,1,148,1,1
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,82,82,17,0,28,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,17,0,0,54,3,1
2568,TCAS1,Portfolio,A1000,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,47,47,14,0,30,17,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,14,0,0,17,0,0
2568,TCAS2,Quota,B1100,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2568,TCAS2,Quota,B1100,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,50,50,19,0,23,27,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,19,0,0,27,2,0
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล (ภาคพิเศษ),ภาคพิเศษ,3,3,1,0,1,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,2,0,0
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E04,วิศวกรรมโยธา-ชลประทาน,ภาคปกติ,58,58,7,0,12,46,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,7,1,0,46,2,0
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E24,วิศวกรรมอุตสาหการ-โลจิสติกส์,ภาคปกติ,95,95,27,0,36,59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,27,0,0,59,1,1
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E29,วิศวกรรมคอมพิวเตอร์,ภาคปกติ,144,144,19,0,20,124,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,19,0,0,124,0,0
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E36,วิศวกรรมอาหาร,ภาคปกติ,20,20,7,0,9,11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,7,0,0,11,0,1
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E37,วิศวกรรมเครื่องกล-เกษตร,ภาคปกติ,3,3,1,0,1,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,2,0,0
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน,ภาคปกติ,121,121,19,0,28,93,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,19,0,0,93,0,6
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E38,วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ),ภาคพิเศษ,17,17,9,0,12,5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,9,0,0,5,1,1
2568,TCAS2,Quota,B2500,E,วิศวกรรมศาสตร์ กำแพงแสน,E39,วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม,ภาคปกติ,6,6,2,0,4,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,2,2,0
2568,TCAS3,Admission,C28xx,E,วิศวกรรมศาสตร์ กำแพงแสน,E03,วิศวกรรมเครื่องกล,ภาคปกติ,358,358,25,67,26,265,35.6015,21.6444,53.9221,5.067,1,10,67,0,0,153,0,25,0,0,112,0,1
