academic_year,calendar_month,platform_name,keyword_group,keyword_text,major_id,major_name,sentiment_label,mention_count,like_count,comment_count,share_count,view_count
2568,2024-12,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,2,33,0,0,1555
2568,2024-12,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,1,155,2,0,8332
2568,2025-01,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,3,19,2,0,689
2568,2025-01,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,1,3274,112,0,77932
2568,2025-02,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,2,15,3,0,716
2568,2025-02,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,1,2,0,0,310
2568,2025-03,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,2,3,0,0,93
2568,2025-03,YouTube API,brand,วิศวะเกษตรกำแพงแสน,ALL,All Engineering,Neutral,1,66,4,0,9425
2568,2025-04,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,2,3,0,0,222
2568,2025-04,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,6,2378,211,0,95369
2568,2025-05,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,1,1,0,0,216
2568,2025-05,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,4,1453,47,0,44709
2568,2025-06,YouTube API,brand,KU KPS Engineering,ALL,All Engineering,Neutral,1,14,0,0,803
2568,2025-06,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,11,23,0,0,2876
2568,2025-06,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,2,181,6,0,8118
2569,2025-12,YouTube API,admissions,TCAS วิศวะเกษตร,ALL,All Engineering,Neutral,1,9,0,0,340
2569,2025-12,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,3,0,0,0,251
2569,2025-12,YouTube API,brand,วิศวะเกษตรกำแพงแสน,ALL,All Engineering,Neutral,1,1,0,0,34
2569,2025-12,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,1,6,0,0,325
2569,2026-01,YouTube API,admissions,TCAS วิศวะเกษตร,ALL,All Engineering,Neutral,3,173,0,0,5827
2569,2026-01,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,1,1,0,0,22
2569,2026-01,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,1,7,0,0,403
2569,2026-02,YouTube API,admissions,TCAS วิศวะเกษตร,ALL,All Engineering,Neutral,1,31,0,0,1154
2569,2026-02,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,1,1,0,0,19
2569,2026-03,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,5,7,1,0,375
2569,2026-03,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,1,3,0,0,32
2569,2026-04,YouTube API,brand,KU KPS Engineering,ALL,All Engineering,Neutral,1,0,0,0,16
2569,2026-04,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,11,1,0,0,180
2569,2026-06,YouTube API,brand,KU KPS Engineering,ALL,All Engineering,Neutral,1,20,0,0,872
2569,2026-06,YouTube API,brand,วิศวกรรมศาสตร์ กำแพงแสน,ALL,All Engineering,Neutral,2,0,0,0,29
2569,2026-06,YouTube API,admissions,สอบเข้าวิศวะเกษตร,ALL,All Engineering,Neutral,5,380,35,0,102888
