academic_year	major_code	major_name	major_type	applicant_count	confirmed_count	confirmed_rate	avg_score	applicant_change
2568	E38	วิศวกรรมโยธา-โครงสร้างพื้นฐาน	ภาคปกติ	827	60	7.26	35.6516	
2568	E04	วิศวกรรมโยธา-ชลประทาน	ภาคปกติ	750	60	8	49.224	
2568	E29	วิศวกรรมคอมพิวเตอร์	ภาคปกติ	741	63	8.5	40.7674	
2568	E24	วิศวกรรมอุตสาหการ-โลจิสติกส์	ภาคปกติ	527	62	11.76	35.7684	
2568	E03	วิศวกรรมเครื่องกล	ภาคปกติ	517	48	9.28	35.6015	
2568	E37	วิศวกรรมเครื่องกล-เกษตร	ภาคปกติ	411	56	13.63	46.0421	
2568	E38	วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ)	ภาคพิเศษ	335	52	15.52	33.0021	
2568	E36	วิศวกรรมอาหาร	ภาคปกติ	313	57	18.21	34.5253	
2568	E03	วิศวกรรมเครื่องกล (ภาคพิเศษ)	ภาคพิเศษ	293	35	11.95	31.1507	
2568	E39	วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม	ภาคปกติ	139	35	25.18	43.2799	
2569	E38	วิศวกรรมโยธา-โครงสร้างพื้นฐาน	ภาคปกติ	825	63	7.64	35.7908	-2
2569	E24	วิศวกรรมอุตสาหการ-โลจิสติกส์	ภาคปกติ	684	62	9.06	35.9961	157
2569	E29	วิศวกรรมคอมพิวเตอร์	ภาคปกติ	680	67	9.85	40.0213	-61
2569	E04	วิศวกรรมโยธา-ชลประทาน	ภาคปกติ	602	62	10.3	47.2472	-148
2569	E03	วิศวกรรมเครื่องกล	ภาคปกติ	543	51	9.39	35.5185	26
2569	E38	วิศวกรรมโยธา-โครงสร้างพื้นฐาน (ภาคพิเศษ)	ภาคพิเศษ	343	52	15.16	34.1846	8
2569	E36	วิศวกรรมอาหาร	ภาคปกติ	294	59	20.07	33.6946	-19
2569	E03	วิศวกรรมเครื่องกล (ภาคพิเศษ)	ภาคพิเศษ	286	34	11.89	33.1081	-7
2569	E37	วิศวกรรมเครื่องกล-เกษตร	ภาคปกติ	214	59	27.57	30.2993	-197
2569	E39	วิศวกรรมนวัตกรรมเพื่อการเกษตรและอุตสาหกรรม	ภาคปกติ	108	36	33.33	30.836	-31
