academic_year	tcas_round_code	tcas_round_name	status_label	choices	unique_applicants
2567	TCAS1	Portfolio	ยืนยันที่อื่นแล้ว	100	100
2567	TCAS1	Portfolio	ยืนยันสิทธิ์	157	157
2567	TCAS1	Portfolio	สละสิทธิ์	1	1
2567	TCAS1	Portfolio	สละสิทธิ์ในรอบ 2	9	9
2567	TCAS1	Portfolio	ไม่ผ่านการคัดเลือก	1162	1103
2567	TCAS1	Portfolio	ไม่เข้าระบบมาดำเนินการใดๆ	17	17
2567	TCAS1	Portfolio	ไม่ใช้สิทธิ์	11	11
2567	TCAS2	Quota	ผ่านการคัดเลือก	8	8
2567	TCAS2	Quota	ยืนยันที่อื่นแล้ว	23	23
2567	TCAS2	Quota	ยืนยันสิทธิ์	115	115
2567	TCAS2	Quota	ไม่ผ่านการคัดเลือก	350	350
2567	TCAS2	Quota	ไม่ใช้สิทธิ์	6	6
2567	TCAS3	Admission	ผ่านการคัดเลือกแต่ไม่นำมาประมวลผลรอบที่ 2	1	1
2567	TCAS3	Admission	ผ่านการคัดเลือกในลำดับที่ดีกว่า	883	724
2567	TCAS3	Admission	ยืนยันสิทธิ์	226	226
2567	TCAS3	Admission	สละสิทธิ์	20	20
2567	TCAS3	Admission	ไม่ผ่านการคัดเลือก	1121	879
2567	TCAS3	Admission	ไม่เข้าระบบมาดำเนินการใดๆ	2	2
2567	TCAS3	Admission	ไม่ใช้สิทธิ์	5	5
2567	TCAS4	Direct Admission	ผ่านการคัดเลือก	34	34
2567	TCAS4	Direct Admission	ยืนยันสิทธิ์	26	26
2567	TCAS4	Direct Admission	ไม่ผ่านการคัดเลือก	90	90
2568	TCAS1	Portfolio	ยืนยันที่อื่นแล้ว	170	170
2568	TCAS1	Portfolio	ยืนยันสิทธิ์	191	191
2568	TCAS1	Portfolio	สละสิทธิ์	1	1
2568	TCAS1	Portfolio	สละสิทธิ์ในรอบ 2	8	8
2568	TCAS1	Portfolio	ไม่ผ่านการคัดเลือก	988	943
2568	TCAS1	Portfolio	ไม่เข้าระบบมาดำเนินการใดๆ	22	22
2568	TCAS1	Portfolio	ไม่ใช้สิทธิ์	5	5
2568	TCAS2	Quota	ยืนยันที่อื่นแล้ว	17	17
2568	TCAS2	Quota	ยืนยันสิทธิ์	112	112
2568	TCAS2	Quota	สละสิทธิ์	1	1
2568	TCAS2	Quota	ไม่ผ่านการคัดเลือก	372	372
2568	TCAS2	Quota	ไม่เข้าระบบมาดำเนินการใดๆ	8	8
2568	TCAS2	Quota	ไม่ใช้สิทธิ์	9	9
2568	TCAS3	Admission	ผู้สมัคร	400	315
2568	TCAS3	Admission	ผ่านการคัดเลือกแต่ไม่นำมาประมวลผลรอบที่ 2	1	1
2568	TCAS3	Admission	ผ่านการคัดเลือกในลำดับที่ดีกว่า	1097	862
2568	TCAS3	Admission	ยืนยันสิทธิ์	214	214
2568	TCAS3	Admission	สละสิทธิ์	22	22
2568	TCAS3	Admission	ไม่ผ่านการคัดเลือก	971	667
2568	TCAS3	Admission	ไม่เข้าระบบมาดำเนินการใดๆ	4	4
2568	TCAS3	Admission	ไม่ใช้สิทธิ์	2	2
2568	TCAS4	Direct Admission	ผ่านการคัดเลือก	1	1
2568	TCAS4	Direct Admission	ยืนยันที่อื่นแล้ว	4	4
2568	TCAS4	Direct Admission	ยืนยันสิทธิ์	11	11
2568	TCAS4	Direct Admission	ไม่ผ่านการคัดเลือก	220	220
2568	TCAS4	Direct Admission	ไม่ใช้สิทธิ์	2	2
2569	TCAS1	Portfolio	ยืนยันที่อื่นแล้ว	187	187
2569	TCAS1	Portfolio	ยืนยันสิทธิ์	163	163
2569	TCAS1	Portfolio	สละสิทธิ์ในรอบ 2	6	6
2569	TCAS1	Portfolio	ไม่ผ่านการคัดเลือก	1012	957
2569	TCAS1	Portfolio	ไม่เข้าระบบมาดำเนินการใดๆ	9	9
2569	TCAS1	Portfolio	ไม่ใช้สิทธิ์	14	14
2569	TCAS2	Quota	ยืนยันที่อื่นแล้ว	18	18
2569	TCAS2	Quota	ยืนยันสิทธิ์	90	90
2569	TCAS2	Quota	ไม่ผ่านการคัดเลือก	490	490
2569	TCAS2	Quota	ไม่เข้าระบบมาดำเนินการใดๆ	5	5
2569	TCAS2	Quota	ไม่ใช้สิทธิ์	11	11
2569	TCAS3	Admission	ผ่านการคัดเลือกแต่ไม่นำมาประมวลผลรอบที่ 2	1	1
2569	TCAS3	Admission	ผ่านการคัดเลือกในลำดับที่ดีกว่า	1191	896
2569	TCAS3	Admission	ยืนยันสิทธิ์	283	283
2569	TCAS3	Admission	สละสิทธิ์	26	26
2569	TCAS3	Admission	ไม่ผ่านการคัดเลือก	870	637
2569	TCAS3	Admission	ไม่เข้าระบบมาดำเนินการใดๆ	3	3
2569	TCAS3	Admission	ไม่ใช้สิทธิ์	5	5
2569	TCAS4	Direct Admission	ยืนยันที่อื่นแล้ว	5	5
2569	TCAS4	Direct Admission	ยืนยันสิทธิ์	9	9
2569	TCAS4	Direct Admission	ไม่ผ่านการคัดเลือก	180	180
2569	TCAS4	Direct Admission	ไม่เข้าระบบมาดำเนินการใดๆ	1	1
