academic_year	status_label	choices	share	tone
2567	ไม่ผ่านการคัดเลือก	2723	62.35	green
2567	ผ่านการคัดเลือกในลำดับที่ดีกว่า	883	20.22	amber
2567	ยืนยันสิทธิ์	524	12.0	orange
2567	ยืนยันที่อื่นแล้ว	123	2.82	blue
2567	ผ่านการคัดเลือก	42	0.96	muted
2567	ไม่ใช้สิทธิ์	22	0.5	muted
2567	สละสิทธิ์	21	0.48	red
2567	ไม่เข้าระบบมาดำเนินการใดๆ	19	0.44	purple
2567	สละสิทธิ์ในรอบ 2	9	0.21	muted
2567	ผ่านการคัดเลือกแต่ไม่นำมาประมวลผลรอบที่ 2	1	0.02	muted
2568	ไม่ผ่านการคัดเลือก	2551	52.57	green
2568	ผ่านการคัดเลือกในลำดับที่ดีกว่า	1097	22.6	amber
2568	ยืนยันสิทธิ์	528	10.88	orange
2568	ผู้สมัคร	400	8.24	blue
2568	ยืนยันที่อื่นแล้ว	191	3.94	blue
2568	ไม่เข้าระบบมาดำเนินการใดๆ	34	0.7	purple
2568	สละสิทธิ์	24	0.49	red
2568	ไม่ใช้สิทธิ์	18	0.37	muted
2568	สละสิทธิ์ในรอบ 2	8	0.16	muted
2568	ผ่านการคัดเลือก	1	0.02	muted
2568	ผ่านการคัดเลือกแต่ไม่นำมาประมวลผลรอบที่ 2	1	0.02	muted
2569	ไม่ผ่านการคัดเลือก	2552	55.73	green
2569	ผ่านการคัดเลือกในลำดับที่ดีกว่า	1191	26.01	amber
2569	ยืนยันสิทธิ์	545	11.9	orange
2569	ยืนยันที่อื่นแล้ว	210	4.59	blue
2569	ไม่ใช้สิทธิ์	30	0.66	muted
2569	สละสิทธิ์	26	0.57	red
2569	ไม่เข้าระบบมาดำเนินการใดๆ	18	0.39	purple
2569	สละสิทธิ์ในรอบ 2	6	0.13	muted
2569	ผ่านการคัดเลือกแต่ไม่นำมาประมวลผลรอบที่ 2	1	0.02	muted
